locus_name	symbol	full_name
AT3G16030	RFO3	RESISTANCE TO FUSARIUM OXYSPORUM 3
AT3G16050	A37	
AT3G16050	ATPDX1.2	ARABIDOPSIS THALIANA PYRIDOXINE BIOSYNTHESIS 1.2
AT3G16050	PDX1.2	pyridoxine biosynthesis 1.2
AT3G16090	AtHrd1A	homolog of yeast Hrd1
AT3G16090	Hrd1A	homolog of yeast Hrd1
AT3G16100	ATRAB7D	
AT3G16100	ATRABG3C	RAB GTPase homolog G3C
AT3G16100	RABG3c	RAB GTPase homolog G3C
AT3G16110	ATPDI4	ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 4
AT3G16110	ATPDIL1-6	PDI-like 1-6
AT3G16110	PDI4	PROTEIN DISULFIDE ISOMERASE 4
AT3G16110	PDIL1-6	PDI-like 1-6
AT3G16130	ATROPGEF13	
AT3G16130	PIRF2	phytochrome interacting RopGEF 2
AT3G16130	ROPGEF13	ROP (rho of plants) guanine nucleotide exchange factor 13
AT3G16140	PSAH-1	photosystem I subunit H-1
AT3G16150	ASPGB1	asparaginase B1
AT3G16170	AAE13	acyl activating enzyme 13
AT3G16240	AQP1	
AT3G16240	ATTIP2;1	
AT3G16240	DELTA-TIP	delta tonoplast integral protein
AT3G16240	DELTA-TIP1	
AT3G16240	TIP2;1	
AT3G16250	NDF4	NDH-dependent cyclic electron flow 1
AT3G16250	PnsB3	Photosynthetic NDH  subcomplex B 3
AT3G16260	TRZ4	tRNAse Z4
AT3G16290	EMB2083	embryo defective 2083
AT3G16320	CDC27a	
AT3G16340	ABCG29	ATP-binding cassette G29
AT3G16340	AtABCG29	
AT3G16340	ATPDR1	PLEIOTROPIC DRUG RESISTANCE 1
AT3G16340	PDR1	pleiotropic drug resistance 1
AT3G16360	AHP4	HPT phosphotransmitter 4
AT3G16380	PAB6	poly(A) binding protein 6
AT3G16390	NSP3	nitrile specifier protein 3
AT3G16400	ATMLP-470	MYROSINASE-BINDING PROTEIN-LIKE PROTEIN-470
AT3G16400	ATNSP1	NITRILE SPECIFIER PROTEIN 1
AT3G16400	NSP1	nitrile specifier protein 1
AT3G16410	NSP4	nitrile specifier protein 4
AT3G16420	JAL30	JACALIN-RELATED LECTIN 30
AT3G16420	PBP1	PYK10-binding protein 1
AT3G16420	PBPI	
AT3G16430	JAL31	jacalin-related lectin 31
AT3G16430	PBPII	
AT3G16440	ATMLP-300B	myrosinase-binding protein-like protein-300B
AT3G16440	MEE36	maternal effect embryo arrest 36
AT3G16440	MLP-300B	myrosinase-binding protein-like protein-300B
AT3G16450	JAL33	Jacalin-related lectin 33
AT3G16460	JAL34	jacalin-related lectin 34
AT3G16470	JAL35	jacalin-related lectin 35
AT3G16470	JR1	JASMONATE RESPONSIVE 1
AT3G16480	MPPalpha	mitochondrial processing peptidase alpha subunit
AT3G16490	IQD26	IQ-domain 26
AT3G16500	IAA26	indole-3-acetic acid inducible 26
AT3G16500	PAP1	phytochrome-associated protein 1
AT3G16520	UGT88A1	UDP-glucosyl transferase 88A1
AT3G16540	DEG11	degradation of periplasmic proteins 11
AT3G16540	DegP11	DegP protease 11
AT3G16550	DEG12	degradation of periplasmic proteins 12
AT3G16550	DEGP12	DEGP protease 12
AT3G16570	ATRALF23	ARABIDOPSIS RAPID ALKALINIZATION FACTOR 23
AT3G16570	RALF23	rapid alkalinization factor 23
AT3G16620	ATTOC120	ARABIDOPSIS THALIANA TRANSLOCON OUTER COMPLEX PROTEIN 120
AT3G16620	TOC120	translocon outer complex protein 120
AT3G16630	ATKINESIN-13A	
AT3G16630	KINESIN-13A	
AT3G16640	TCTP	translationally controlled tumor protein
AT3G16650	PRL2	Pleiotropic regulatory locus 2
AT3G16690	AtSWEET16	
AT3G16690	SWEET16	
AT3G16720	ATL2	TOXICOS EN LEVADURA 2
AT3G16720	TL2	TOXICOS EN LEVADURA 2
AT3G16730	HEB2	hypersensitive to excess boron 2
AT3G16770	ATEBP	ethylene-responsive element binding protein
AT3G16770	EBP	ethylene-responsive element binding protein
AT3G16770	ERF72	ETHYLENE RESPONSE FACTOR 72
AT3G16770	RAP2.3	RELATED TO AP2 3
AT3G16785	PLD ZETA 1	PHOSPHOLIPASE D ZETA 1
AT3G16785	PLDP1	phospholipase D P1
AT3G16785	PLDZ1	PHOSPHOLIPASE D ZETA1
AT3G16785	PLDZETA1	
AT3G16810	APUM24	pumilio 24
AT3G16810	PUM24	pumilio 24
AT3G16830	TPR2	TOPLESS-related 2
AT3G16857	ARR1	response regulator 1
AT3G16857	RR1	response regulator 1
AT3G16860	COBL8	COBRA-like protein 8 precursor
AT3G16870	GATA17	GATA transcription factor 17
AT3G16890	PPR40	pentatricopeptide (PPR) domain protein 40
AT3G16910	AAE7	acyl-activating enzyme 7
AT3G16910	ACN1	ACETATE NON-UTILIZING 1
AT3G16920	ATCTL2	
AT3G16920	CTL2	chitinase-like protein 2
AT3G16950	LPD1	lipoamide dehydrogenase 1
AT3G16950	ptlpd1	
AT3G16980	NRPB9A	
AT3G16980	NRPD9A	
AT3G16980	NRPE9A	
AT3G17000	UBC32	ubiquitin-conjugating enzyme 32
AT3G17010	REM22	REPRODUCTIVE MERISTEM 22
AT3G17040	HCF107	high chlorophyll fluorescent 107
AT3G17100	AIF3	ATBS1 Interacting Factor 3
AT3G17170	RFC3	REGULATOR OF FATTY-ACID COMPOSITION 3
AT3G17180	scpl33	serine carboxypeptidase-like 33
AT3G17185	ATTAS3	
AT3G17185	TAS3	trans-acting siRNA3
AT3G17185	TASIR-ARF	
AT3G17203	GA2OX5	gibberellin 2-oxidase 5
AT3G17205	UPL6	ubiquitin protein ligase 6
AT3G17210	ATHS1	A. THALIANA HEAT STABLE PROTEIN 1
AT3G17210	HS1	heat stable protein 1
AT3G17220	ATPMEI2	
AT3G17220	PMEI2	pectin methylesterase inhibitor 2
AT3G17240	mtLPD2	lipoamide dehydrogenase 2
AT3G17300	EMB2786	At3g17300
AT3G17310	AtDRM3	
AT3G17310	DRM3	domains rearranged methyltransferase 3
AT3G17320	FOA1	F-box overexpressed/oppressed ABA signaling 1
AT3G17330	ECT6	evolutionarily conserved C-terminal region 6
AT3G17360	POK1	phragmoplast orienting kinesin 1
AT3G17390	MAT4	METHIONINE ADENOSYLTRANSFERASE 4
AT3G17390	MTO3	METHIONINE OVER-ACCUMULATOR 3
AT3G17390	SAMS3	S-ADENOSYLMETHIONINE SYNTHETASE 3
AT3G17420	GPK1	glyoxysomal protein kinase 1
AT3G17440	ATNPSN13	
AT3G17440	NPSN13	novel plant snare 13
AT3G17465	RPL3P	ribosomal protein L3 plastid
AT3G17470	ATCRSH	
AT3G17470	CRSH	Ca2+-activated RelA/spot homolog
AT3G17510	CIPK1	CBL-interacting protein kinase 1
AT3G17510	SnRK3.16	SNF1-RELATED PROTEIN KINASE 3.16
AT3G17590	BSH	BUSHY GROWTH
AT3G17590	CHE1	
AT3G17600	IAA31	indole-3-acetic acid inducible 31
AT3G17609	HYH	HY5-homolog
AT3G17611	ATRBL10	RHOMBOID-like protein 10
AT3G17611	ATRBL14	RHOMBOID-like protein 14
AT3G17611	RBL10	RHOMBOID-like protein 10
AT3G17611	RBL14	RHOMBOID-like protein 14
AT3G17630	ATCHX19	cation/H+ exchanger 19
AT3G17630	CHX19	cation/H+ exchanger 19
AT3G17650	PDE321	pigment defective 321
AT3G17650	YSL5	YELLOW STRIPE like 5
AT3G17660	AGD15	ARF-GAP domain 15
AT3G17668	ENA	ENHANCER OF ATNSI ACTIVITY
AT3G17690	ATCNGC19	CYCLIC NUCLEOTIDE-GATED CHANNEL 19
AT3G17690	CNGC19	cyclic nucleotide gated channel 19
AT3G17700	ATCNGC20	CYCLIC NUCLEOTIDE-GATED CHANNEL 20
AT3G17700	CNBT1	cyclic nucleotide-binding transporter 1
AT3G17700	CNGC20	cyclic nucleotide gated channel 20
AT3G17730	anac057	NAC domain containing protein 57
AT3G17730	NAC057	NAC domain containing protein 57
AT3G17760	GAD5	glutamate decarboxylase 5
AT3G17790	ATACP5	
AT3G17790	ATPAP17	
AT3G17790	PAP17	purple acid phosphatase 17
AT3G17810	PYD1	pyrimidine 1
AT3G17820	ATGSKB6	ARABIDOPSIS THALIANA GLUTAMINE SYNTHASE CLONE KB6
AT3G17820	GLN1.3	glutamine synthetase 1.3
AT3G17820	GLN1;3	GLUTAMINE SYNTHETASE 1;3
AT3G17840	RLK902	receptor-like kinase 902
AT3G17860	JAI3	JASMONATE-INSENSITIVE 3
AT3G17860	JAZ3	jasmonate-zim-domain protein 3
AT3G17860	TIFY6B	
AT3G17880	ATHIP2	ARABIDOPSIS THALIANA HSP70-INTERACTING PROTEIN 2
AT3G17880	ATTDX	tetraticopeptide domain-containing thioredoxin
AT3G17880	HIP	HSC-70 INTERACTING PROTEIN
AT3G17880	TDX	tetraticopeptide domain-containing thioredoxin
AT3G17910	EMB3121	EMBRYO DEFECTIVE 3121
AT3G17910	SURF1	SURFEIT 1
AT3G17930	DAC	Defective Accumulation of Cytochrome b6/f complex
AT3G17970	atToc64-III	translocon at the outer membrane of chloroplasts 64-III
AT3G17970	TOC64-III	translocon at the outer membrane of chloroplasts 64-III
AT3G17980	AtC2	Arabidopsis thaliana C2 domain
AT3G17980	AtGAP1	homolog of OsGAP1
AT3G17980	C2	C2 domain
AT3G17998	CPuORF30	conserved peptide upstream open reading frame 30
AT3G18000	NMT1	N-METHYLTRANSFERASE 1
AT3G18000	PEAMT	
AT3G18000	XPL1	XIPOTL 1
AT3G18010	WOX1	WUSCHEL related homeobox 1
AT3G18030	ATHAL3	
AT3G18030	ATHAL3A	ARABIDOPSIS THALIANA HAL3-LIKE PROTEIN A
AT3G18030	HAL3	HALOTOLERANCE DETERMINANT 3
AT3G18030	HAL3A	HAL3-like protein A
AT3G18035	HON4	
AT3G18040	MPK9	MAP kinase 9
AT3G18070	BGLU43	beta glucosidase 43
AT3G18080	BGLU44	B-S glucosidase 44
AT3G18090	NRPD2B	nuclear RNA polymerase D2B
AT3G18100	AtMYB4R1	myb domain protein 4R1
AT3G18100	MYB4R1	myb domain protein 4r1
AT3G18110	EMB1270	embryo defective 1270
AT3G18130	RACK1C	receptor for activated C kinase 1C
AT3G18130	RACK1C_AT	receptor for activated C kinase 1C
AT3G18140	LST8-1	Lethal with Sec Thirteen 8-1
AT3G18160	PEX3-1	peroxin 3-1
AT3G18165	MOS4	Modifier of snc1,4
AT3G18200	UMAMIT4	Usually multiple acids move in and out Transporters 4
AT3G18217	MIR157C	microRNA157C
AT3G18220	LPP4	lipid phosphate phosphatase 4
AT3G18270	CYP77A5P	"cytochrome P450, family 77, subfamily A, polypeptide 5 pseudogene"
AT3G18290	BTS	BRUTUS
AT3G18290	EMB2454	embryo defective 2454
AT3G18370	ATSYTF	
AT3G18370	NTMC2T3	
AT3G18370	NTMC2TYPE3	
AT3G18370	SYTF	
AT3G18380	DTF2	DNA-BINDING TRANSCRIPTION FACTOR 2
AT3G18380	SHH2	SAWADEE homeodomain homolog 2
AT3G18390	EMB1865	embryo defective 1865
AT3G18400	anac058	NAC domain containing protein 58
AT3G18400	NAC058	NAC domain containing protein 58
AT3G18440	ALMT9	aluminum-activated malate transporter 9
AT3G18440	AtALMT9	aluminum-activated malate transporter 9
AT3G18480	AtCASP	CCAAT-displacement protein alternatively spliced product
AT3G18480	CASP	CCAAT-displacement protein alternatively spliced product
AT3G18485	ILR2	IAA-LEUCINE RESISTANT 2
AT3G18490	ASPG1	ASPARTIC PROTEASE IN GUARD CELL 1
AT3G18518	DVL7	DEVIL 7
AT3G18518	RTFL20	ROTUNDIFOLIA like 20
AT3G18520	ATHDA15	
AT3G18520	HDA15	histone deacetylase 15
AT3G18524	ATMSH2	
AT3G18524	MSH2	MUTS homolog 2
AT3G18550	AtBRC1	
AT3G18550	ATTCP18	
AT3G18550	BRC1	BRANCHED 1
AT3G18550	TCP18	
AT3G18590	AtENODL5	
AT3G18590	ENODL5	early nodulin-like protein 5
AT3G18610	ATNUC-L2	nucleolin like 2
AT3G18610	NUC-L2	nucleolin like 2
AT3G18610	PARLL1	PARALLEL1-LIKE 1
AT3G18630	ATUNG	uracil dna glycosylase
AT3G18630	UNG	uracil dna glycosylase
AT3G18650	AGL103	AGAMOUS-like 103
AT3G18660	GUX1	glucuronic acid substitution of xylan 1
AT3G18660	PGSIP1	plant glycogenin-like starch initiation protein 1
AT3G18690	MKS1	MAP kinase substrate 1
AT3G18710	ATPUB29	ARABIDOPSIS THALIANA PLANT U-BOX 29
AT3G18710	PUB29	plant U-box 29
AT3G18715	IDL4	inflorescence deficient in abscission (IDA)-like 4
AT3G18730	BRU1	BRUSHY1
AT3G18730	MGO3	MGOUN3
AT3G18730	TSK	TONSOKU
AT3G18740	RLK902	receptor-like kinase 902
AT3G18750	ATWNK6	ARABIDOPSIS THALIANA WITH NO K 6
AT3G18750	WNK6	with no lysine (K) kinase 6
AT3G18750	ZIK5	
AT3G18780	ACT2	actin 2
AT3G18780	DER1	DEFORMED ROOT HAIRS 1
AT3G18780	ENL2	ENHANCER OF LRX1 2
AT3G18780	FIZ2	FRIZZY AND KINKED SHOOTS 2
AT3G18780	LSR2	LIGHT STRESS-REGULATED 2
AT3G18810	AtPERK6	proline-rich extensin-like receptor kinase 6
AT3G18810	PERK6	proline-rich extensin-like receptor kinase 6
AT3G18820	ATRAB7B	RAB GTPase homolog G3F
AT3G18820	ATRABG3F	
AT3G18820	RAB71	
AT3G18820	RAB7B	
AT3G18820	RAB7B	RAB GTPase homolog G3F
AT3G18820	RABG3F	
AT3G18827	MIR868A	microRNA868A
AT3G18830	ATPLT5	POLYOL TRANSPORTER 5
AT3G18830	ATPMT5	ARABIDOPSIS THALIANA POLYOL/MONOSACCHARIDE TRANSPORTER 5
AT3G18830	PMT5	polyol/monosaccharide transporter 5
AT3G18850	LPAT5	lysophosphatidyl acyltransferase 5
AT3G18890	AtTic62	translocon at the inner envelope membrane of chloroplasts 62
AT3G18890	Tic62	translocon at the inner envelope membrane of chloroplasts 62
AT3G18895	MIR418	microRNA418
AT3G18910	ETP2	EIN2 targeting protein2
AT3G18970	MEF20	mitochondrial editing factor  20
AT3G18980	ETP1	EIN2 targeting protein1
AT3G18990	REM39	REPRODUCTIVE MERISTEM 39
AT3G18990	VRN1	REDUCED VERNALIZATION RESPONSE 1
AT3G19040	HAF2	histone acetyltransferase of the TAFII250 family 2
AT3G19040	TAF1	TBP-ASSOCIATED FACTOR 1
AT3G19040	TAF1B	TBP-ASSOCIATED FACTOR 1B
AT3G19050	POK2	phragmoplast orienting kinesin 2
AT3G19090	AtLARP6c	
AT3G19090	LARP6c	La related protein 6c
AT3G19130	ATRBP47B	RNA-binding protein 47B
AT3G19130	RBP47B	RNA-binding protein 47B
AT3G19140	DNF	DAY NEUTRAL FLOWERING
AT3G19150	ACK1	ARABIDOPSIS CDK INHIBITOR 1
AT3G19150	AtKRP6	
AT3G19150	ICK4	
AT3G19150	KRP6	KIP-related protein 6
AT3G19160	ATIPT8	ATP/ADP isopentenyltransferases
AT3G19160	IPT8	ATP/ADP isopentenyltransferases
AT3G19160	IPT8	isopentenyltransferase 8
AT3G19160	PGA22	
AT3G19170	ATPREP1	presequence protease 1
AT3G19170	ATZNMP	
AT3G19170	PREP1	presequence protease 1
AT3G19180	ARC6H	
AT3G19180	ATCDP1	A. THALIANA CHLOROPLAST DIVISION SITE POSITIONING 1
AT3G19180	CDP1	CHLOROPLAST DIVISION SITE POSITIONING 1
AT3G19180	PARC6	paralog of ARC6
AT3G19190	ATATG2	
AT3G19190	ATG2	AUTOPHAGY 2
AT3G19210	ATRAD54	homolog of RAD54
AT3G19210	CHR25	
AT3G19210	RAD54	homolog of RAD54
AT3G19220	CYO1	SHI-YO-U MEANS COTYLEDON IN JAPANESE
AT3G19220	SCO2	SNOWY COTYLEDON 2
AT3G19260	LAG1 HOMOLOG 2	LONGEVITY ASSURANCE GENE1 HOMOLOG 2
AT3G19260	LOH2	LAG1 homologue 2
AT3G19270	CYP707A4	"cytochrome P450, family 707, subfamily A, polypeptide 4"
AT3G19280	ATFUT11	
AT3G19280	FUCT1	
AT3G19280	FUCTA	
AT3G19280	FUT11	fucosyltransferase 11
AT3G19290	ABF4	ABRE binding factor 4
AT3G19290	AREB2	ABA-RESPONSIVE ELEMENT BINDING PROTEIN 2
AT3G19350	MPC	maternally expressed pab C-terminal
AT3G19380	PUB25	plant U-box 25
AT3G19420	ATPEN2	PTEN 2
AT3G19420	PEN2	PTEN 2
AT3G19420	PTEN2A	phosphatase and TENsin homolog deleted on chromosome ten 2A
AT3G19450	ATCAD4	
AT3G19450	CAD	
AT3G19450	CAD-C	
AT3G19450	CAD4	CINNAMYL ALCOHOL DEHYDROGENASE 4
AT3G19490	ATNHD1	ARABIDOPSIS THALIANA NA/H ANTIPORTER 1
AT3G19490	NHD1	sodium:hydrogen antiporter 1
AT3G19510	HAT3.1	
AT3G19553	PUT5	POLYAMINE UPTAKE TRANSPORTER 5
AT3G19570	QWRF1	QWRF domain containing 1
AT3G19570	SCO3	SNOWY COTYLEDON 3
AT3G19580	AZF2	zinc-finger protein 2
AT3G19580	ZF2	zinc-finger protein 2
AT3G19590	BUB3.1	BUB (BUDDING UNINHIBITED BY BENZYMIDAZOL)  3.1
AT3G19600	AtCPL5	
AT3G19600	CPL5	C-terminal domain phosphatase-like 5
AT3G19640	MGT4	magnesium transporter 4
AT3G19640	MRS2-3	
AT3G19670	ATPRP40B	pre-mRNA-processing protein 40B
AT3G19670	PRP40B	pre-mRNA-processing protein 40B
AT3G19700	IKU2	HAIKU2
AT3G19710	BCAT4	branched-chain aminotransferase4
AT3G19720	ARC5	ACCUMULATION AND REPLICATION OF CHLOROPLAST 5
AT3G19720	DRP5B	Dynamin related protein 5B
AT3G19760	EIF4A-III	eukaryotic initiation factor 4A-III
AT3G19770	ATVPS9A	ARABIDOPSIS THALIANA VACUOLAR PROTEIN SORTING 9A
AT3G19770	VPS9	
AT3G19770	VPS9A	
AT3G19820	CBB1	CABBAGE 1
AT3G19820	DIM	DIMINUTIA
AT3G19820	DIM1	DIMINUTO 1
AT3G19820	DWF1	DWARF 1
AT3G19820	EVE1	ENHANCED VERY-LOW-FLUENCE RESPONSES 1
AT3G19830	NTMC2T5.2	
AT3G19830	NTMC2TYPE5.2	
AT3G19840	ATPRP40C	pre-mRNA-processing protein 40C
AT3G19840	PRP40C	pre-mRNA-processing protein 40C
AT3G19860	bHLH121	basic Helix-Loop-Helix 121
AT3G19930	ATSTP4	SUGAR TRANSPORTER 4
AT3G19930	STP4	sugar transporter 4
AT3G19960	ATM1	myosin 1
AT3G19980	ATFYPP3	"flower-specific, phytochrome-associated protein phosphatase 3"
AT3G19980	EMB2736	EMBRYO DEFECTIVE 2736
AT3G19980	FYPP3	"flower-specific, phytochrome-associated protein phosphatase 3"
AT3G19980	STPP	SERINE/THREONINE PROTEIN PHOSPHATASE
AT3G20000	TOM40	translocase of the outer mitochondrial membrane 40
AT3G20020	ATPRMT6	ARABIDOPSIS THALIANA PROTEIN ARGININE METHYLTRANSFERASE 6
AT3G20020	PRMT6	protein arginine methyltransferase 6
AT3G20040	ATHXK4	
AT3G20040	HKL2	HEXOKINASE-LIKE 2
AT3G20050	ATTCP-1	T-complex protein 1 alpha subunit
AT3G20050	TCP-1	T-complex protein 1 alpha subunit
AT3G20060	UBC19	ubiquitin-conjugating enzyme19
AT3G20070	TTN9	TITAN9
AT3G20075	CYP705A14P	"cytochrome P450, family 705, subfamily A, polypeptide 14 pseudogene"
AT3G20080	CYP705A15	"cytochrome P450, family 705, subfamily A, polypeptide 15"
AT3G20083	CYP705A16	"cytochrome P450, family 705, subfamily A, polypeptide 16"
AT3G20087	CYP705A17P	"cytochrome P450, family 705, subfamily A, polypeptide 17 pseudogene"
AT3G20090	CYP705A18	"cytochrome P450, family 705, subfamily A, polypeptide 18"
AT3G20100	CYP705A19	"cytochrome P450, family 705, subfamily A, polypeptide 19"
AT3G20110	CYP705A20	"cytochrome P450, family 705, subfamily A, polypeptide 20"
AT3G20120	CYP705A21	"cytochrome P450, family 705, subfamily A, polypeptide 21"
AT3G20130	CYP705A22	cytochrome P450, family 705, subfamily A, polypeptide 22
AT3G20130	GPS1	gravity persistence signal 1
AT3G20140	CYP705A23	"cytochrome P450, family 705, subfamily A, polypeptide 23"
AT3G20190	PRK4	pollen receptor like kinase 4
AT3G20210	DELTA-VPE	delta vacuolar processing enzyme
AT3G20210	DELTAVPE	DELTA VACUOLAR PROCESSING ENZYME
AT3G20250	APUM5	pumilio 5
AT3G20250	PUM5	pumilio 5
AT3G20290	ATEHD1	EPS15 homology domain 1
AT3G20290	EHD1	EPS15 homology domain 1
AT3G20310	ATERF-7	
AT3G20310	ATERF7	
AT3G20310	ERF7	ethylene response factor 7
AT3G20320	ABCI15	ATP-binding cassette I15
AT3G20320	TGD2	trigalactosyldiacylglycerol2
AT3G20330	PYRB	PYRIMIDINE B
AT3G20400	EMB2743	EMBRYO DEFECTIVE 2743
AT3G20410	CPK9	calmodulin-domain protein kinase 9
AT3G20420	ATRTL2	RNASEIII-LIKE 2
AT3G20420	RTL2	RNAse THREE-like protein 2
AT3G20440	BE1	BRANCHING ENZYME 1
AT3G20440	EMB2729	EMBRYO DEFECTIVE 2729
AT3G20470	ATGRP-5	
AT3G20470	ATGRP5	
AT3G20470	GRP-5	GLYCINE-RICH PROTEIN 5
AT3G20470	GRP5	glycine-rich protein 5
AT3G20475	ATMSH5	MUTS-HOMOLOGUE 5
AT3G20475	MSH5	MUTS-homologue 5
AT3G20480	AtLpxK	
AT3G20480	LpxK	lipid X K
AT3G20500	ATPAP18	PURPLE ACID PHOSPHATASE 18
AT3G20500	PAP18	purple acid phosphatase 18
AT3G20520	GDPDL5	Glycerophosphodiester phosphodiesterase (GDPD) like 5
AT3G20520	SVL3	SHV3-like 3
AT3G20540	POLGAMMA1	polymerase gamma 1
AT3G20540	PolIB	polymerase I B
AT3G20550	DDL	DAWDLE
AT3G20560	ATPDI12	ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 12
AT3G20560	ATPDIL5-3	PDI-like 5-3
AT3G20560	PDI12	PROTEIN DISULFIDE ISOMERASE 12
AT3G20560	PDIL5-3	PDI-like 5-3
AT3G20570	AtENODL9	
AT3G20570	ENODL9	early nodulin-like protein 9
AT3G20580	COBL10	COBRA-like protein 10 precursor
AT3G20600	NDR1	non race-specific disease resistance 1
AT3G20630	ATUBP14	
AT3G20630	PER1	phosphate deficiency root hair defective1
AT3G20630	TTN6	TITAN6
AT3G20630	UBP14	ubiquitin-specific protease 14
AT3G20660	AtOCT4	organic cation/carnitine transporter4
AT3G20660	OCT4	organic cation/carnitine transporter4
AT3G20670	HTA13	histone H2A 13
AT3G20740	FIE	FERTILIZATION-INDEPENDENT ENDOSPERM
AT3G20740	FIE1	FERTILIZATION-INDEPENDENT ENDOSPERM 1
AT3G20740	FIS3	
AT3G20750	GATA29	GATA transcription factor 29
AT3G20770	AtEIN3	
AT3G20770	EIN3	ETHYLENE-INSENSITIVE3
AT3G20780	ATTOP6B	topoisomerase 6 subunit  B
AT3G20780	BIN3	BRASSINOSTEROID INSENSITIVE 3
AT3G20780	HYP6	ELONGATED HYPOCOTYL 6
AT3G20780	RHL3	ROOT HAIRLESS 3
AT3G20780	TOP6B	topoisomerase 6 subunit  B
AT3G20810	JMJ30	Jumonji C domain-containing protein 30
AT3G20810	JMJD5	jumonji domain containing 5
AT3G20830	AGC2-4	AGC2 kinase 4
AT3G20830	UCNL	UNICORN-like
AT3G20840	PLT1	PLETHORA 1
AT3G20860	ATNEK5	NIMA-related kinase 5
AT3G20860	NEK5	NIMA-related kinase 5
AT3G20865	AGP40	arabinogalactan protein 40
AT3G20870	ZTP29	zinc transporter 29
AT3G20880	WIP4	WIP domain protein 4
AT3G20910	NF-YA9	"nuclear factor Y, subunit A9"
AT3G20930	ORRM1	Organelle RRM protein 1
AT3G20935	CYP705A28	"cytochrome P450, family 705, subfamily A, polypeptide 28"
AT3G20940	CYP705A30	"cytochrome P450, family 705, subfamily A, polypeptide 30"
AT3G20950	CYP705A32	"cytochrome P450, family 705, subfamily A, polypeptide 32"
AT3G20960	CYP705A33	"cytochrome P450, family 705, subfamily A, polypeptide 33"
AT3G20970	ATNFU2	ARABIDOPSIS THALIANA NFU DOMAIN PROTEIN 2
AT3G20970	NFU4	NFU domain protein 4
AT3G20993	LCR56	low-molecular-weight cysteine-rich 56
AT3G20997	LCR55	low-molecular-weight cysteine-rich 55
AT3G21055	PSBTN	photosystem II subunit T
AT3G21060	RBL	RbBP5 LIKE
AT3G21070	ATNADK-1	NAD KINASE 1
AT3G21070	NADK1	NAD kinase 1
AT3G21090	ABCG15	ATP-binding cassette G15
AT3G21110	ATPURC	
AT3G21110	PUR7	purin 7
AT3G21110	PURC	PURIN C
AT3G21150	AtBBX32	
AT3G21150	BBX32	B-box domain protein 32
AT3G21150	EIP6	EMF1-Interacting Protein 1
AT3G21160	MANIA	ALPHA-MANNOSIDASE IA
AT3G21160	MNS2	alpha-mannosidase 2
AT3G21175	GATA24	GATA TRANSCRIPTION FACTOR 24
AT3G21175	TIFY2B	
AT3G21175	ZML1	ZIM LIKE 1
AT3G21175	ZML1	ZIM-like 1
AT3G21180	ACA9	autoinhibited Ca(2+)-ATPase 9
AT3G21180	ATACA9	
AT3G21190	AtMSR1	
AT3G21190	MSR1	Mannan Synthesis Related 1
AT3G21200	GluTRBP	GluTR binding protein
AT3G21200	PGR7	proton gradient regulation 7
AT3G21220	ATMAP2K_ALPHA	
AT3G21220	ATMEK5	ARABIDOPSIS THALIANA MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5
AT3G21220	ATMKK5	ARABIDOPSIS THALIANA MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5
AT3G21220	MAP2K_A	
AT3G21220	MEK5	MAP KINASE KINASE 5
AT3G21220	MKK5	MAP kinase kinase 5
AT3G21230	4CL5	4-coumarate:CoA ligase 5
AT3G21240	4CL2	4-coumarate:CoA ligase 2
AT3G21240	AT4CL2	
AT3G21250	ABCC8	ATP-binding cassette C8
AT3G21250	ATMRP6	ARABIDOPSIS THALIANA MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 6
AT3G21250	MRP6	multidrug resistance-associated protein 6
AT3G21260	GLTP3	GLYCOLIPID TRANSFER PROTEIN 3
AT3G21270	ADOF2	DOF zinc finger protein 2
AT3G21270	DOF2	DOF zinc finger protein 2
AT3G21280	UBP7	ubiquitin-specific protease 7
AT3G21350	MED6	
AT3G21370	BGLU19	beta glucosidase 19
AT3G21420	LBO1	LATERAL BRANCHING OXIDOREDUCTASE 1
AT3G21430	ALY3	ALWAYS EARLY 3
AT3G21430	ATALY3	ARABIDOPSIS THALIANA ALWAYS EARLY 3
AT3G21500	DXL1	DXS-like 1
AT3G21500	DXPS1	1-deoxy-D-xylulose 5-phosphate synthase 1
AT3G21500	DXS2	1-deoxy-D-xylulose 5-phosphate (DXP) synthase 2
AT3G21510	AHP1	histidine-containing phosphotransmitter 1
AT3G21520	AtDMP1	Arabidopsis thaliana DUF679 domain membrane protein 1
AT3G21520	DMP1	DUF679 domain membrane protein 1
AT3G21550	AtDMP2	Arabidopsis thaliana DUF679 domain membrane protein 2
AT3G21550	DMP2	DUF679 domain membrane protein 2
AT3G21560	BRT1	Bright Trichomes 1
AT3G21560	UGT84A2	UDP-glucosyl transferase 84A2
AT3G21580	ABCI12	ATP-binding cassette I12
AT3G21630	AtCERK1	
AT3G21630	AtLYK1	
AT3G21630	CERK1	chitin elicitor receptor kinase 1
AT3G21630	LYK1	LysM-containing receptor-like kinase 1
